expression	reading	level	meaning	tags
男子	だんし	3	young man	JLPT JLPT_2 JLPT_3
症状	しょうじょう	3	symptoms, condition	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
発	はつ	2	to depart (e.g., on a plane, train)	JLPT JLPT_2
直	じき	3	immediately, soon, shortly	JLPT JLPT_2 JLPT_3
直前	ちょくぜん	2	just before	JLPT JLPT_2
直線	ちょくせん	2	straight line	JLPT JLPT_2
相	そう	3	aspect, phase, countenance	JLPT_1 JLPT JLPT_3
相互	そうご	2	mutual, reciprocal	JLPT JLPT_2
相当	そうとう	3	considerably, fairly; worth ~	JLPT JLPT_2 JLPT_3
省～	しょう～	2	economizing ~	JLPT JLPT_2
着く	つく	5	to arrive at, to reach	JLPT JLPT_3 JLPT_5 JLPT_N5
瞬間	しゅんかん	3	moment, second	JLPT JLPT_2 JLPT_3
知る	しる	5	to know, to understand	Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
知事	ちじ	3	prefectural governor	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
知人	ちじん	2	friend, acquaintance	JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese
石	いし	4	stone	JLPT JLPT_N4
砂	すな	4	sand	JLPT JLPT_N4
磁器	じき	3	porcelain, china	JLPT_1 JLPT JLPT_3
磁気	じき	3	magnetism	JLPT_1 JLPT JLPT_3
社会	しゃかい	4	society	JLPT JLPT_N4
社長	しゃちょう	4	president of a company	Genki Genki_Ln.11 JLPT JLPT_N4
禅	ぜん	3	Zen (Buddhism)	JLPT_1 JLPT JLPT_3
税	ぜい	3	tax	JLPT JLPT_2 JLPT_3
種類	しゅるい	3	variety, kind	JLPT JLPT_2 JLPT_3
積む	つむ	2	to pile up, to stack	JLPT JLPT_2
空く	すく	4	to be empty (in reference to people), to be less crowded	JLPT JLPT_N4
突く	つく	3	to thrust, to strike; to poke	JLPT JLPT_2 JLPT_3
立つ	たつ	5	to stand up	Genki Genki_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5
章	しょう	3	chapter, section; medal	JLPT JLPT_2 JLPT_3
端	はし	3	end (e.g., of street), edge, margin	JLPT JLPT_2 JLPT_3
競争	きょうそう	4	competition, contest	JLPT JLPT_N4
箸	はし	5	chopsticks	Genki Genki_Ln.8 JLPT JLPT_3 JLPT_5 JLPT_N5
節	ふし	3	tune, tone, knob	JLPT JLPT_2 JLPT_3
精神	せいしん	3	mind, soul, spirit	JLPT JLPT_2 JLPT_3
紅茶	こうちゃ	5	black tea	Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
純情	じゅんじょう	2	pure heart	JLPT JLPT_2
終了	しゅうりょう	2	end, close, termination	JLPT_1 JLPT JLPT_2
終点	しゅうてん	2	terminus, last stop (e.g train)	JLPT JLPT_2
経つ	たつ	3	(time) passes	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
維持	いじ	3	maintenance, preservation	JLPT JLPT_2 JLPT_3
綱	つな	2	rope	JLPT JLPT_2
総～	そう～	2	gross, general, entire	JLPT JLPT_2
線	せん	4	line, wire	JLPT JLPT_N4
縁	ふち	3	edge, rim	JLPT JLPT_2 JLPT_3
罪	つみ	3	crime, fault, indiscretion	JLPT JLPT_2 JLPT_3
習字	しゅうじ	2	penmanship	JLPT JLPT_2
習慣	しゅうかん	4	custom (in reference to culture)	JLPT JLPT_N4
耕地	こうち	2	arable land	JLPT JLPT_2
背	せい	5	(one's) height, stature	Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
膳	ぜん	3	(small) table, tray, meal	JLPT_1 JLPT JLPT_3
自動	じどう	3	automatic, self-motion	JLPT JLPT_2 JLPT_3
自治	じち	2	self-government, autonomy	JLPT JLPT_2
至急	しきゅう	3	urgent, pressing	JLPT JLPT_2 JLPT_3
茶	ちゃ	3	tea	JLPT JLPT_2 JLPT_3
菓子	かし	3	confectionery, sweet	JLPT JLPT_2 JLPT_3
葬式	そうしき	2	funeral	JLPT JLPT_2
蒸気	じょうき	2	steam, vapor	JLPT JLPT_2
虫	むし	4	insect	JLPT JLPT_N4
虹	にじ	2	rainbow	JLPT JLPT_2
血	ち	4	blood	JLPT JLPT_N4
衆	しゅう	3	masses, people	JLPT_1 JLPT JLPT_3
表示	ひょうじ	3	display, indication	JLPT_3
表紙	ひょうし	2	front cover, binding	JLPT JLPT_2
製造	せいぞう	3	manufacture, production	JLPT JLPT_2 JLPT_3
複数	ふくすう	2	plural, multiple	JLPT JLPT_2
西	にし	5	west	JLPT JLPT_5 JLPT_N5
要旨	ようし	2	gist, essentials, summary	JLPT JLPT_2
視点	してん	3	opinion, point of view, visual point	JLPT_1 JLPT JLPT_3
視覚	しかく	3	sense of sight, vision	JLPT_1 JLPT JLPT_3
親類	しんるい	2	relative(s) (same as 親戚 (しんせき))	JLPT Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese_Ln.9
角	すみ	3	corner	JLPT JLPT_2 JLPT_3
討つ	うつ	3	to attack, to avenge	JLPT JLPT_2 JLPT_3
記事	きじ	3	article, news story	JLPT JLPT_2 JLPT_3
試験	しけん	4	an exam	Genki Genki_Ln.9 JLPT JLPT_N4
詩	し	3	poem; poetry	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
詩人	しじん	3	poet	JLPT JLPT_2 JLPT_3
課長	かちょう	4	section manager	Intermediate_Japanese_Ln.7 JLPT JLPT_N4
調子	ちょうし	3	condition, state, tune, tone	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
調査	ちょうさ	3	survey; investigation	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
調節	ちょうせつ	2	regulation, adjustment, control	JLPT JLPT_2
諸～	しょ～	2	various ~	JLPT JLPT_2
講師	こうし	2	lecturer	JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
象	ぞう	3	elephant	JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki
財産	ざいさん	3	property, fortune, assets	JLPT JLPT_2 JLPT_3
貴重	きちょう	3	precious, valuable	JLPT JLPT_2 JLPT_3
貸し	かし	3	loan, lending	JLPT JLPT_2 JLPT_3
貸す	かす	5	to lend	Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
資料	しりょう	2	materials, data	JLPT JLPT_2
資格	しかく	3	qualifications, requirements, capabilities	JLPT_1 JLPT JLPT_3
賞	しょう	3	prize, award	JLPT JLPT_2 JLPT_3
賞品	しょうひん	2	prize, trophy	JLPT JLPT_2
賞金	しょうきん	2	prize, monetary award	JLPT JLPT_2
起床	きしょう	2	rising, getting out of bed	JLPT JLPT_2
超過	ちょうか	2	excess, being more than	JLPT JLPT_2
趣味	しゅみ	4	hobby; pastime	Genki Genki_Ln.20 JLPT JLPT_N4
足; 脚	あし	5	foot; leg	JLPT JLPT_5 JLPT_N5
足す	たす	4	to add (numbers)	JLPT JLPT_N4
身長	しんちょう	3	height (of body), stature	JLPT JLPT_2 JLPT_3
車掌	しゃしょう	2	(train) conductor	JLPT JLPT_2
辞典	じてん	4	encyclopedia, reference book	JLPT JLPT_N4
辞退	じたい	3	refusal	JLPT_1 JLPT JLPT_3
近い	ちかい	5	near, close by, short	Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
近く	ちかく	5	nearby; in the neighborhood	Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
迷信	めいしん	2	superstition	JLPT JLPT_2
通信	つうしん	3	correspondence, communications	JLPT JLPT_2 JLPT_3
通勤	つうきん	2	commuting to work	JLPT JLPT_2
通学	つうがく	3	commuting to school	JLPT JLPT_2 JLPT_3
通用	つうよう	2	popular use, circulation	JLPT JLPT_2
通訳	つうやく	2	interpretation (i.e., oral translation) interpreter	JLPT JLPT_2
造船	ぞうせん	2	shipbuilding	JLPT JLPT_2
連れる	つれる	4	to lead, to take (a person)	JLPT JLPT_N4
週	しゅう	3	week	JLPT JLPT_2 JLPT_3
進む	すすむ	4	to advance, to proceed	JLPT JLPT_N4
進行	しんこう	3	advance	JLPT_1 JLPT JLPT_3
遅刻	ちこく	3	lateness, late coming	JLPT JLPT_2 JLPT_3
過剰	かじょう	2	excess, over-	JLPT JLPT_2
過失	かしつ	2	error, mistake, negligence	JLPT JLPT_2
選手	せんしゅ	3	player selected for a team (usually athletic)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
部首	ぶしゅ	2	radical (of a kanji character)	JLPT JLPT_2
郵送	ゆうそう	2	mailing	JLPT JLPT_2
都市	とし	3	town, city, urban	JLPT JLPT_2 JLPT_3
酢	す	2	vinegar	JLPT JLPT_2
重役	じゅうやく	2	director, high executive	JLPT JLPT_2
重点	じゅうてん	2	important point, lay stress on, emphasis	JLPT JLPT_2
重要	じゅうよう	3	important, essential	JLPT JLPT_2 JLPT_3
重視	じゅうし	3	importance, stress	JLPT JLPT_2 JLPT_3
重量	じゅうりょう	2	heavyweight	JLPT JLPT_2
釣	つり	3	fishing	JLPT JLPT_2 JLPT_3
釣る	つる	4	to fish	JLPT JLPT_N4
鉢	はち	2	a bowl, a pot	JLPT JLPT_2
銃	じゅう	3	gun	JLPT JLPT_2 JLPT_3
鑑賞	かんしょう	2	appreciation	JLPT JLPT_2
長女	ちょうじょ	2	eldest daughter	JLPT JLPT_2
長所	ちょうしょ	2	strong point, merit; advantage	JLPT JLPT_2
長期	ちょうき	3	long time period	JLPT JLPT_2 JLPT_3
長～	ちょう～	2	long ~	JLPT JLPT_2
開通	かいつう	2	opening, open	JLPT JLPT_2
関する	かんする	3	to concern, to be related	JLPT JLPT_2 JLPT_3
附属	ふぞく	2	attached, belonging, affiliated	JLPT JLPT_2
隅	すみ	4	corner	JLPT JLPT_N4
随分	ずいぶん	4	extremely	JLPT JLPT_N4
隙	すき	2	unguarded moment, chance	JLPT JLPT_2
集金	しゅうきん	2	money collection	JLPT JLPT_2
雑巾	ぞうきん	2	house-cloth, dust cloth	JLPT JLPT_2
電子	でんし	3	electron; electronic	JLPT JLPT_2 JLPT_3
電池	でんち	2	battery	Genki_Ln.15 JLPT_2 JLPT Genki
需要	じゅよう	3	demand	JLPT JLPT_2 JLPT_3
靴	くつ	5	shoes, footwear	Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
頂上	ちょうじょう	3	top, summit, peak	JLPT JLPT_2 JLPT_3
頂点	ちょうてん	2	top, summit	JLPT JLPT_2
順調	じゅんちょう	3	doing well	JLPT JLPT_2 JLPT_3
領事	りょうじ	2	consul	JLPT JLPT_2
食料	しょくりょう	3	food	JLPT JLPT_2 JLPT_3
食糧	しょくりょう	3	provisions, rations	JLPT JLPT_2 JLPT_3
餅	もち	2	sticky rice cake	JLPT JLPT_2
首相	しゅしょう	3	Prime Minister	JLPT JLPT_2 JLPT_3
高層	こうそう	2	tall, high rise	JLPT JLPT_2
～さん	～さん	5	Mr. ~, Ms. ~	JLPT JLPT_2 JLPT_5 JLPT_N5
～ちゃん	～ちゃん	4	suffix for familiar (female) person	JLPT JLPT_N4
～中	～じゅう	5	during, while	JLPT JLPT_2 JLPT_5 JLPT_N5
～中	～ちゅう	5	during, while ~ing	JLPT JLPT_5 JLPT_N5
～兆	～ちょう	2	trillion	JLPT JLPT_2
～前	～ぜん	2	before ~	JLPT JLPT_2
～勝	～しょう	2	count for victory	JLPT JLPT_2
～史	～し	2	history of ~	JLPT JLPT_2
～商	～しょう	2	merchant, business	JLPT JLPT_2
～場	～じょう	2	kind of field, ground	JLPT JLPT_2
～女	～じょ	2	count for sisters	JLPT JLPT_2
～室	～しつ	2	counter for room	JLPT JLPT_2
～寺	～じ	2	the name of temple	JLPT JLPT_2
～山	～さん	2	the name of mountain	JLPT JLPT_2
～帳	～ちょう	2	~ book, notebook	JLPT JLPT_2
～庁	～ちょう	2	office, agency	JLPT JLPT_2
～戦	～せん	2	counter for games, matches	JLPT JLPT_2
～所	～しょ	2	place	JLPT JLPT_2
～所	～じょ	2	place	JLPT JLPT_2
～日	～じつ	2	day	JLPT JLPT_2
～時	～じ	5	~ o'clock (time)	JLPT JLPT_1 JLPT_5 JLPT_N5
～条	～じょう	2	counter for article	JLPT_1 JLPT JLPT_2
～産	～さん	2	made in ~	JLPT JLPT_2
～町	～ちょう	4	the town of ~	JLPT JLPT_N4
～畳	～じょう	2	count for tatami, mat	JLPT JLPT_2
～省	～しょう	2	kind of ministry	JLPT JLPT_2
～紙	～し	2	newspaper, type of paper	JLPT JLPT_2
～船	～せん	2	counter for ships	JLPT JLPT_2
～艘	～そう	2	counter for ships	JLPT JLPT_2
～色	～しょく	2	kind of color	JLPT JLPT_2
～足	～そく	2	counter for shoes	JLPT JLPT_2
～通	～つう	2	counter for letters	JLPT JLPT_2
～長	～ちょう	2	leader, head	JLPT JLPT_2
～集	～しゅう	2	collection of ~	JLPT JLPT_2
